entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::地西泮,地西泮,地曲泮|地西泮|地西泮注射液|地西泮片|安定|安定注射液,106,安定,alias_dictionary_match
Drug::多奈哌齐,多奈哌齐,多奈哌齐|盐酸多奈哌齐,12,盐酸多奈哌齐,alias_dictionary_match
Drug::多柔比星,多柔比星,DOX|多柔比星|阿霉素,13,阿霉素,alias_dictionary_match
Drug::多西环素,多西环素,多西环素|强力霉素|盐酸多西环素,66,强力霉素,alias_dictionary_match
Drug::头孢克洛,头孢克洛,头孢克洛|头孢克洛片|头孢克洛颗粒,17,头孢克洛干混悬剂,dictionary_match
Drug::头孢哌酮舒巴坦,头孢哌酮/舒巴坦,头孢哌酮/舒巴坦|头孢哌酮舒巴坦|注射用头孢哌酮钠舒巴坦钠,8,注射用头孢哌酮钠舒巴坦钠,alias_dictionary_match
Drug::头孢曲松钠,头孢曲松钠,头孢曲松钠|注射用头孢曲松钠,9,注射用头孢曲松钠,alias_dictionary_match
Drug::奥美拉唑,奥美拉唑,奥美拉唑|奥美拉唑肠溶片|奥美拉唑肠溶胶囊|奥美拉唑胶囊|奥美拉唑颗粒|注射用奥美拉唑|注射用奥美拉唑钠,308,奥美拉唑肠溶,alias_dictionary_match
Drug::安体舒通,安体舒通,安体舒通,27,螺内酯,dictionary_match
Drug::富马酸氯马斯汀,富马酸氯马斯汀,富马酸氯马斯汀片,2,富马酸氯马斯汀口服溶液,dictionary_match
Drug::富马酸酮替芬,富马酸酮替芬,富马酸酮替芬分散片|富马酸酮替芬滴眼液|富马酸酮替芬片,9,富马酸酮替芬滴鼻液,dictionary_match
Drug::对乙酰氨基酚,对乙酰氨基酚,对乙酰氨基酚|对乙酰氨基酚口服液|对乙酰氨基酚咀嚼片|对乙酰氨基酚泡腾片|对乙酰氨基酚注射液|对乙酰氨基酚片|对乙酰氨基酚糖浆|对乙酰氨基酚缓释片|对乙酰氨基酚胶囊|对乙酰氨基酚颗粒|扑热息痛,230,对乙酰氨基酚溶液,dictionary_match
Drug::尼莫地平,尼莫地平,尼莫地平|尼莫地平片|尼莫地平缓释片,32,注射用尼莫地平,dictionary_match
Drug::巯嘌呤,巯嘌呤,巯嘌呤|巯嘌呤片|巯基嘌呤|硫基嘌呤,22,巯基嘌呤,alias_dictionary_match
Drug::己酮可可碱,己酮可可碱,己酮可可碱缓释片,2,注射用己酮可可碱,dictionary_match
Drug::巴比妥,巴比妥,巴比妥|巴比妥盐酸盐,26,巴比妥盐酸盐,alias_dictionary_match
Drug::巴比妥类,巴比妥类,巴比妥类|巴比妥酸盐,89,巴比妥酸盐,alias_dictionary_match
Drug::布洛芬,布洛芬,布洛芬|布洛芬 片|布洛芬口服液|布洛芬咀嚼片|布洛芬片|布洛芬糖浆|布洛芬缓释片|布洛芬胶囊|布洛芬颗粒|迪尔诺,148,布洛芬口服溶液,dictionary_match
Drug::布洛芬缓释,布洛芬缓释,布洛芬|布洛芬缓释胶囊,6,布洛芬口服溶液,alias_dictionary_match
Drug::异搏定,异搏定,异搏定,20,维拉帕米,dictionary_match
Drug::心得安,心得安,心得安,70,普萘洛尔,dictionary_match
Drug::扑尔敏,扑尔敏,扑尔敏,5,马来酸氯苯那敏,dictionary_match
Drug::扑米酮,扑米酮,扑痫酮|扑米酮|扑米酮片,64,扑痫酮,alias_dictionary_match
Drug::抑郁药,抑郁药,抑郁药,1,抗抑郁药,dictionary_match
Drug::抗凝剂,抗凝剂,抗凝剂,44,抗凝药,dictionary_match
Drug::抗酸药,抗酸药,含铝或镁的抗酸药|抗酸药|抗酸药(含铝或镁)|抗酸药物|致酸剂,43,致酸剂,alias_dictionary_match
Drug::抵克立得,抵克立得,抵克立得,3,盐酸噻氯匹定,dictionary_match
Drug::昂丹司琼,昂丹司琼,昂丹司琼|盐酸昂丹司琼,12,盐酸昂丹司琼,alias_dictionary_match
Drug::昔多芬,昔多芬,昔多芬,2,西地那非,dictionary_match
Drug::更昔洛韦,更昔洛韦,Ganciclovir|更昔洛韦|更昔洛韦胶囊,51,更昔洛韦氯化钠,dictionary_match
Drug::格列本脲,格列本脲,优降糖|格列本脲|格列本脲片,109,优降糖,alias_dictionary_match
Drug::氟伏沙明,氟伏沙明,伏氟沙明|氟伏沙明,103,伏氟沙明,alias_dictionary_match
Drug::氟桂利嗪,氟桂利嗪,FNZ|氟桂利嗪|氟桂利嗪胶囊|西比灵,9,西比灵,alias_dictionary_match
Drug::氢氧化铝,氢氧化铝,氢氧化铝|氢氧化铝凝胶|氢氧化铝胶,80,氢氧化铝凝胶,alias_dictionary_match
Drug::氢氯噻嗪,氢氯噻嗪,HCT|双氢克尿噻|双氢克尿塞|双氢氯噻嗪|氢氯噻嗪|氢氯噻嗪片,69,双氢氯噻嗪,alias_dictionary_match
Drug::氢溴酸右美沙芬,氢溴酸右美沙芬,氢溴酸右美沙芬口服液|氢溴酸右美沙芬片|氢溴酸右美沙芬糖浆|氢溴酸右美沙芬缓释片|氢溴酸右美沙芬胶囊,15,氢溴酸右美沙芬滴鼻液,dictionary_match
Drug::氨氯地平,氨氯地平,氨氯地平|氨氯地平片|络活喜|苯磺酸氨氯地平,118,苯磺酸氨氯地平,alias_dictionary_match
Drug::氨溴索,氨溴索,氨溴素|氨溴索|盐酸氨溴索胶囊,8,盐酸氨溴索,alias_dictionary_match
Drug::氨甲环酸,氨甲环酸,氨甲环酸|氨甲环酸注射液|氨甲环酸片|氨甲环酸胶囊,14,注射用氨甲环酸,dictionary_match
Drug::氨糖,氨糖,氨糖,3,盐酸氨基葡萄糖,dictionary_match
Drug::氨苄西林,氨苄西林,氨苄西林|氨苄西林片|氨苄西林胶囊|氨苄西林颗粒|氨苄青霉素,52,氨苄青霉素,alias_dictionary_match
Drug::氨苄西林丙磺舒,氨苄西林-丙磺舒,氨苄西林-丙磺舒分散片|氨苄西林-丙磺舒胶囊|氨苄西林丙磺舒分散片|氨苄西林丙磺舒胶囊,12,氨苄西林丙磺舒,alias_dictionary_match
Drug::氨苯喋啶,氨苯喋啶,氨苯喋啶,11,氨苯蝶啶,dictionary_match
Drug::氯吡格雷,氯吡格雷,Clopidogrel|clopidogrel|氢氯吡格雷|氯吡格雷|氯吡格雷片|波立维|硫酸氢氯吡格雷片,162,硫酸氢氯吡格雷,alias_dictionary_match
Drug::氯氮卓,氯氮卓,利眠宁|氯氮卓,3,利眠宁,alias_dictionary_match
Drug::氯磺丙尿,氯磺丙尿,氯磺丙尿,1,氯磺丙脲,dictionary_match
Drug::氯苯那敏,氯苯那敏,扑尔敏|氯苯那敏,4,马来酸氯苯那敏,alias_dictionary_match
Drug::水杨酸,水杨酸,水杨酸|水杨酸制剂|水杨酸软膏,19,水杨酸制剂,alias_dictionary_match
Drug::注射用哌拉西林钠舒巴坦钠41,注射用哌拉西林钠舒巴坦钠(4:1),注射用哌拉西林钠舒巴坦钠(4:1),3,注射用哌拉西林钠舒巴坦钠4:1,dictionary_match
Drug::注射用重组人干扰素α2a,注射用重组人干扰素α2a,注射用重组人干扰素α-2a|注射用重组人干扰素α2a,6,重组人干扰素α2a,alias_dictionary_match
Drug::注射用阿莫西林钠克拉维酸钾,注射用阿莫西林钠克拉维酸钾,注射用阿莫西林钠克拉维酸钾,3,阿莫西林克拉维酸钾,dictionary_match
Drug::泼尼松龙,泼尼松龙,强的松龙|泼尼松龙|泼尼松龙片,21,强的松龙,alias_dictionary_match
Drug::洋地黄,洋地黄,毛地黄|洋地黄|洋地黄制剂,119,洋地黄制剂,alias_dictionary_match
Drug::特非那丁,特非那丁,特非那丁,14,特非那定,dictionary_match
Drug::环孢素,环孢素,CsA|环孢素|环孢素A|环孢素口服溶液(改进型)|环孢菌素A|环胞素|环胞菌素A|环胞霉素,466,环孢素A,alias_dictionary_match
Drug::甲氨喋呤,甲氨喋呤,甲氨喋呤,48,甲氨蝶呤,dictionary_match
Drug::甲氨蝶呤,甲氨蝶呤,MTX|氨甲喋呤|甲喋呤|甲氨喋呤|甲氨蝶呤|甲氨蝶呤注射液|甲氨蝶呤片|胺甲蝶喋,212,氨甲喋呤,alias_dictionary_match
Drug::甲氰咪胍,甲氰咪胍,甲氰咪胍|西米替丁,43,西米替丁,alias_dictionary_match
Drug::甲硝唑,甲硝唑,甲硝唑|甲硝唑注射液|甲硝唑片,167,甲硝唑口颊,dictionary_match
Drug::甲磺丁脲,甲磺丁脲,D860|甲磺丁脲,26,D860,alias_dictionary_match
Drug::甲苯磺丁脲,甲苯磺丁脲,D860|甲磺丁脲|甲苯磺丁脲,83,D860,alias_dictionary_match
Drug::盐酸地尔硫卓,盐酸地尔硫卓,盐酸地尔硫卓|盐酸地尔硫卓片|盐酸地尔硫卓缓释片|盐酸地尔硫卓缓释胶囊,9,盐酸地尔硫卓缓释,alias_dictionary_match
Drug::盐酸地尔硫卓缓释胶囊,盐酸地尔硫卓缓释胶囊,盐酸地尔硫卓缓释胶囊,3,盐酸地尔硫卓缓释,dictionary_match
Drug::盐酸氟桂利嗪,盐酸氟桂利嗪,盐酸氟桂利嗪|盐酸氟桂利嗪分散片|盐酸氟桂利嗪滴丸|盐酸氟桂利嗪胶囊|西比灵,13,西比灵,alias_dictionary_match
Drug::盐酸阿扎司琼,盐酸阿扎司琼,盐酸阿扎司琼注射液,3,盐酸阿扎司琼氯化钠,dictionary_match
Drug::硝苯吡啶,硝苯吡啶,硝苯吡啶,16,硝苯地平,dictionary_match
Drug::硝苯啶,硝苯啶,硝苯啶,6,硝苯地平,dictionary_match
Drug::硫酸沙丁胺醇,硫酸沙丁胺醇,硫酸沙丁胺醇片,3,硫酸沙丁胺醇气雾剂,dictionary_match
Drug::硫酸特布他林,硫酸特布他林,硫酸特布他林片,3,硫酸特布他林气雾剂,dictionary_match
Drug::硫酸阿米卡星,硫酸阿米卡星,硫酸阿米卡星注射液,3,阿米卡星,dictionary_match
Drug::磷酸奥司他韦,磷酸奥司他韦,磷酸奥司他韦|磷酸奥司他韦胶囊|达菲,6,达菲,alias_dictionary_match
Drug::磺胺类,磺胺类,磺胺类|磺胺类药物,19,磺胺类药物,alias_dictionary_match
Drug::络活喜,络活喜,络活喜,4,苯磺酸氨氯地平,dictionary_match
Drug::维生素a,维生素A,维生素A,23,维生素A软,dictionary_match
