entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::双歧杆菌乳杆菌三联活菌片,双歧杆菌乳杆菌三联活菌片,双歧杆菌乳杆菌三联活菌片,1,双歧杆菌乳杆菌三联活菌,suffix_stripped
Drug::双歧杆菌活菌胶囊,双歧杆菌活菌胶囊,双歧杆菌活菌胶囊,2,双歧杆菌活菌,suffix_stripped
Drug::双黄连口服液,双黄连口服液,双黄连口服液,1,双黄连,suffix_stripped
Drug::双黄连注射液,双黄连注射液,双黄连注射液,4,双黄连,suffix_stripped
Drug::右旋糖酐注射液,右旋糖酐注射液,右旋糖酐注射液,1,右旋糖酐,suffix_stripped
Drug::含有机酸的注射剂,含有机酸的注射剂,含有机酸的注射剂,1,含有机酸的,suffix_stripped
Drug::唐草片,唐草片,唐草片,5,唐草,suffix_stripped
Drug::喜炎平注射液,喜炎平注射液,喜炎平注射液,5,喜炎平,suffix_stripped
Drug::四磨汤口服液,四磨汤口服液,四磨汤口服液,1,四磨汤,suffix_stripped
Drug::增效联磺片,增效联磺片,增效联磺片,1,增效联磺,suffix_stripped
Drug::复方丹参注射液,复方丹参注射液,复方丹参注射液,2,复方丹参,suffix_stripped
Drug::复方丹参滴丸,复方丹参滴丸,复方丹参滴丸,6,复方丹参,suffix_stripped
Drug::复方丹参片,复方丹参片,复方丹参片,7,复方丹参,suffix_stripped
Drug::复方乳酸钠注射液,复方乳酸钠注射液,复方乳酸钠注射液,1,复方乳酸钠,suffix_stripped
Drug::复方五仁醇胶囊,复方五仁醇胶囊,复方五仁醇胶囊,1,复方五仁醇,suffix_stripped
Drug::复方地龙胶囊,复方地龙胶囊,复方地龙胶囊,1,复方地龙,suffix_stripped
Drug::复方小活络丸,复方小活络丸,复方小活络丸,1,复方小活络,suffix_stripped
Drug::复方左金丸,复方左金丸,复方左金丸,2,复方左金,suffix_stripped
Drug::复方桔梗麻黄碱糖浆,复方桔梗麻黄碱糖浆,复方桔梗麻黄碱糖浆,2,复方桔梗麻黄碱,suffix_stripped
Drug::复方氢氧化铝片,复方氢氧化铝片,复方氢氧化铝片,1,复方氢氧化铝,suffix_stripped
Drug::复方氯化钠注射液,复方氯化钠注射液,复方氯化钠注射液,4,复方氯化钠,suffix_stripped
Drug::复方甘草口服液,复方甘草口服液,复方甘草口服液,1,复方甘草,suffix_stripped
Drug::复方甘草酸苷注射液,复方甘草酸苷注射液,复方甘草酸苷注射液,1,复方甘草酸苷,suffix_stripped
Drug::复方苦参注射液,复方苦参注射液,复方苦参注射液,2,复方苦参,suffix_stripped
Drug::复方黄连素片,复方黄连素片,复方黄连素片,2,复方黄连素,suffix_stripped
Drug::多替阿巴拉米片,多替阿巴拉米片,多替阿巴拉米片,4,多替阿巴拉米,suffix_stripped
Drug::多烯磷脂酰胆碱注射液,多烯磷脂酰胆碱注射液,多烯磷脂酰胆碱注射液,1,多烯磷脂酰胆碱,suffix_stripped
Drug::大黄素大片,大黄素大片,大黄素大片,1,大黄素大,suffix_stripped
Drug::大黄苏打片,大黄苏打片,大黄苏打片,2,大黄苏打,suffix_stripped
Drug::天丹通络片,天丹通络片,天丹通络片,1,天丹通络,suffix_stripped
Drug::奈玛特韦利托那韦片,奈玛特韦/利托那韦片,paxlovid|奈玛特韦/利托那韦片,9,奈玛特韦/利托那韦,suffix_stripped
Drug::奈玛特韦片利托那韦片,奈玛特韦片/利托那韦片,Paxlovid|奈玛特韦片/利托那韦片,24,奈玛特韦片/利托那韦,suffix_stripped
Drug::奥比帕利+达塞布韦,奥比帕利 + 达塞布韦,奥比帕利 + 达塞布韦,1,奥比帕利+达塞布韦,suffix_stripped
Drug::安定注射液,安定注射液,安定注射液,2,安定,suffix_stripped
Drug::安定片,安定片,安定片,1,安定,suffix_stripped
Drug::安宫牛黄丸,安宫牛黄丸,安宫牛黄丸,1,安宫牛黄,suffix_stripped
Drug::宣肺败毒颗粒,宣肺败毒颗粒,宣肺败毒颗粒,2,宣肺败毒,suffix_stripped
Drug::宫血宁胶囊,宫血宁胶囊,宫血宁胶囊,1,宫血宁,suffix_stripped
Drug::小儿化毒散,小儿化毒散,小儿化毒散,1,小儿化毒,suffix_stripped
Drug::小儿善存片,小儿善存片,小儿善存片(咀嚼片),3,小儿善存片,suffix_stripped
Drug::小建中胶囊,小建中胶囊,小建中胶囊,2,小建中,suffix_stripped
Drug::小檗碱胶囊,小檗碱胶囊,小檗碱胶囊,1,小檗碱,suffix_stripped
Drug::小活络丸,小活络丸,小活络丸,1,小活络,suffix_stripped
Drug::小金丸,小金丸,小金丸,3,小金,suffix_stripped
Drug::尼莫地平注射液,尼莫地平注射液,尼莫地平注射液,1,注射用尼莫地平,suffix_stripped
Drug::山楂丸,山楂丸,山楂丸,2,山楂,suffix_stripped
Drug::川穹嗪注射液,川穹嗪注射液,川穹嗪注射液,1,川穹嗪,suffix_stripped
Drug::川芎茶调散,川芎茶调散,川芎茶调散,1,川芎茶调,suffix_stripped
Drug::左旋甲状素片,左旋甲状素片,左旋甲状素片,1,左旋甲状素,suffix_stripped
Drug::左金丸,左金丸,左金丸,1,左金,suffix_stripped
Drug::布地奈德福莫特罗粉吸入剂,布地奈德福莫特罗粉吸入剂,布地奈德福莫特罗粉吸入剂,1,布地奈德福莫特罗粉,suffix_stripped
Drug::常药降压片,常药降压片,常药降压片,1,常药降压,suffix_stripped
Drug::异戊巴比妥钠注射液,异戊巴比妥钠注射液,异戊巴比妥钠注射液,2,异戊巴比妥钠,suffix_stripped
Drug::强力解毒敏注射液,强力解毒敏注射液,强力解毒敏注射液,1,强力解毒敏,suffix_stripped
Drug::强力霉素片,强力霉素片,强力霉素片,1,强力霉素,suffix_stripped
Drug::恩曲他滨丙酚替诺福韦片,恩曲他滨丙酚替诺福韦片,恩曲他滨丙酚替诺福韦片,2,恩曲他滨丙酚替诺福韦,suffix_stripped
Drug::感冒清热颗粒,感冒清热颗粒,感冒清热颗粒,1,感冒清热,suffix_stripped
Drug::感冒通片,感冒通片,感冒通片,1,感冒通,suffix_stripped
Drug::扑尔敏片,扑尔敏片,扑尔敏片,1,马来酸氯苯那敏,suffix_stripped
Drug::摇头丸,摇头丸,摇头丸,1,摇头,suffix_stripped
Drug::撒利痛片,撒利痛片,撒利痛片,1,撒利痛,suffix_stripped
Drug::救必治注射液,救必治注射液,救必治注射液,1,救必治,suffix_stripped
Drug::新康泰克胶囊,新康泰克胶囊,新康泰克胶囊,1,新康泰克,suffix_stripped
Drug::新清宁片,新清宁片,新清宁片,1,新清宁,suffix_stripped
Drug::明目上清丸,明目上清丸,明目上清丸,1,明目上清,suffix_stripped
Drug::木香顺气丸,木香顺气丸,木香顺气丸,1,木香顺气,suffix_stripped
Drug::朱砂散,朱砂散,朱砂散,1,朱砂,suffix_stripped
Drug::杞菊地黄丸,杞菊地黄丸,杞菊地黄丸,1,杞菊地黄,suffix_stripped
Drug::果导片,果导片,果导片,2,果导,suffix_stripped
Drug::枣仁安神胶囊,枣仁安神胶囊,枣仁安神胶囊,2,枣仁安神,suffix_stripped
Drug::枳术宽中胶囊,枳术宽中胶囊,枳术宽中胶囊,1,枳术宽中,suffix_stripped
Drug::柴胡舒肝丸,柴胡舒肝丸,柴胡舒肝丸,1,柴胡舒肝,suffix_stripped
Drug::桂枝茯苓丸,桂枝茯苓丸,桂枝茯苓丸,1,桂枝茯苓,suffix_stripped
Drug::桉柠蒎肠溶软胶囊,桉柠蒎肠溶软胶囊,桉柠蒎肠溶软胶囊,1,桉柠蒎肠溶软,suffix_stripped
Drug::槐角丸,槐角丸,槐角丸,1,槐角,suffix_stripped
Drug::槟榔四消丸,槟榔四消丸,槟榔四消丸,2,槟榔四消,suffix_stripped
Drug::止咳定喘丸,止咳定喘丸,止咳定喘丸,2,止咳定喘,suffix_stripped
Drug::止咳糖浆,止咳糖浆,止咳糖浆,1,止咳,suffix_stripped
Drug::正天丸,正天丸,正天丸,2,正天,suffix_stripped
Drug::步长新脑心通胶囊,步长新脑心通胶囊,步长新脑心通胶囊,1,步长新脑心通,suffix_stripped
