entity_id,canonical_name,aliases,source_records,suggested_canonical,reason
Drug::含脱屑药制剂,含脱屑药制剂,含脱屑药制剂,1,,pseudo_drug_like
Drug::含藜芦制剂,含藜芦制剂,含藜芦制剂,1,,pseudo_drug_like
Drug::含酒精的制剂,含酒精的制剂,含酒精的制剂,2,,pseudo_drug_like
Drug::含钙制剂,含钙制剂,含钙制剂,1,,pseudo_drug_like
Drug::含铋制剂,含铋制剂,含铋制剂,1,,pseudo_drug_like
Drug::含锂制剂,含锂制剂,含锂制剂,3,,pseudo_drug_like
Drug::含锌多种维生素制剂,含锌多种维生素制剂,含锌多种维生素制剂|含锌的多种维生素制剂,1,,pseudo_drug_like
Drug::含锌的多种维生秦制剂,含锌的多种维生秦制剂,含锌的多种维生秦制剂,1,,pseudo_drug_like
Drug::含锌的多种维生素制剂,含锌的多种维生素制剂,含锌的多种维生素制剂,1,,pseudo_drug_like
Drug::含镁制剂,含镁制剂,含镁制剂,1,,pseudo_drug_like
Drug::含麻黄的制剂,含麻黄的制剂,含麻黄的制剂,2,,pseudo_drug_like
Drug::坎格列净与二甲双胍复方制剂,坎格列净与二甲双胍复方制剂,坎格列净与二甲双胍复方制剂,1,,pseudo_drug_like
Drug::增强型蛋白酶抑制剂,增强型蛋白酶抑制剂,增强型蛋白酶抑制剂,2,,pseudo_drug_like
Drug::复方二甲硅油制剂,复方二甲硅油制剂,复方二甲硅油制剂,1,,pseudo_drug_like
Drug::多价阳离子制剂,多价阳离子制剂,多价阳离子制剂,1,,pseudo_drug_like
Drug::多巴胺受体激动剂,多巴胺受体激动剂,多巴胺受体激动剂,2,,pseudo_drug_like
Drug::多种维生素制剂,多种维生素制剂,多种维生素制剂,1,,pseudo_drug_like
Drug::小剂量孕酮制剂,小剂量孕酮制剂,小剂量孕酮制剂,1,,pseudo_drug_like
Drug::尼古丁替代疗法,尼古丁替代疗法,尼古丁替代疗法,3,,pseudo_drug_like
Drug::屋尘螨变应原制剂,屋尘螨变应原制剂,屋尘螨变应原制剂,3,,pseudo_drug_like
Drug::山楂制剂,山楂制剂,山楂制剂,2,,pseudo_drug_like
Drug::抗组胺制剂,抗组胺制剂,抗组胺制剂,1,,pseudo_drug_like
Drug::抗肿瘤坏死因子α制剂,抗肿瘤坏死因子α制剂,抗肿瘤坏死因子α制剂,1,,pseudo_drug_like
Drug::抗逆转录病毒疗法,抗逆转录病毒疗法,抗逆转录病毒疗法,2,,pseudo_drug_like
Drug::抗酸铝制剂,抗酸铝制剂,抗酸铝制剂,1,,pseudo_drug_like
Drug::整合酶抑制剂,整合酶抑制剂,整合酶抑制剂,2,,pseudo_drug_like
